title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
Cambazhane,06/01/1928 (US),80,Charlie Chaplin,Charlie Chaplin,"Komedi,Romantik",1h 12m,İngilizce,"$9,000,000.00",-
Rövanş,31/05/2015 (US),61,Fouad Mikati,Patricia Beauchamp,"Dram,Gerilim",1h 35m,İngilizce,-,-
Alev Kapanı 2,14/05/2019 (US),64,Gonzalo López-Gallego,Gregory Widen,"Aksiyon,Suç,Dram",1h 41m,İngilizce,-,-
Profesyonel,21/10/1981 (FR),72,Georges Lautner,Jacques Audiard,"Aksiyon,Macera,Gerilim",1h 48m,Fransızca,-,-
Doraemon: Nobita and the Robot Kingdom,09/03/2002 (JP),69,Tsutomu Shibayama,,"Animasyon,Macera,Fantastik,Bilim-Kurgu,Aile",1h 20m,Japonca,-,"$21,100,000.00"
Bir Torba Bilye,18/01/2017 (FR),78,Christian Duguay,Laurent Zeitoun,"Savaş,Dram",1h 53m,Fransızca,"$21,400,000.00","$10,898,998.00"
Vicini di casa,01/12/2022 (IT),56,Paolo Costella,,Komedi,1h 23m,İtalyanca,-,-
Üç Kral,27/09/1999 (US),67,David O. Russell,,"Aksiyon,Komedi,Savaş",1h 54m,İngilizce,"$75,000,000.00","$108,000,000.00"
The Substitute 2: School's Out,01/08/1998 (US),58,Steven Pearl,Roy Frumkes,"Aksiyon,Gizem,Gerilim",1h 29m,İngilizce,-,-
Errementari: The Blacksmith and the Devil,02/03/2018 (ES),64,Paul Urkijo Alijo,,"Dram,Fantastik,Korku",1h 38m,Baskça,-,-
Dark Glasses,12/04/2022 (FR),47,Dario Argento,,"Dram,Gerilim,Korku,Gizem",1h 26m,İtalyanca,-,-
Amerikan Haydutları,17/08/2001 (US),60,Les Mayfield,,"Vahşi Batı,Aksiyon",1h 34m,İngilizce,"$35,000,000.00","$13,678,913.00"
,17/10/1997 (US),66,Harmony Korine,Harmony Korine,"Dram,Komedi",1h 29m,İngilizce,"$1,300,000.00","$116,799.00"
Kötü Deha,03/05/2017 (TH),79,Nattawut Poonpiriya,,"Dram,Suç,Gerilim,Komedi",2h 10m,Taylandça,"$1,839,169.00","$42,350,000.00"
Harika Köpek 1,01/08/1997 (US),55,Charles Martin Smith,Aaron Mendelsohn,"Komedi,Aile",1h 38m,İngilizce,"$3,000,000.00","$23,144,499.00"
Nobel Adayının Karısı,17/08/2018 (US),71,Björn Runge,,Dram,1h 40m,İngilizce,"$7,000,000.00","$20,000,000.00"
Dünyanın Tarihi,12/06/1981 (US),68,Mel Brooks,,Komedi,1h 32m,İngilizce,"$11,000,000.00","$31,672,907.00"
Kupa Şovalyesi,04/03/2016 (US),56,Terrence Malick,Terrence Malick,"Romantik,Dram,Fantastik",1h 58m,İngilizce,-,"$566,006.00"
,10/02/1966 (GB),72,Otto Preminger,,"Gizem,Gerilim",1h 47m,İngilizce,-,-
,16/07/2021 (US),56,Mike Burns,Bill Lawrence,"Aksiyon,Gerilim,Suç",1h 35m,İngilizce,-,"$95,813.00"
Özgürlük Çığlığı,07/12/1990 (TR),71,Richard Attenborough,,Dram,2h 37m,İngilizce,"$29,000,000.00","$25,900,000.00"
,23/08/1985 (US),67,Koji Hashimoto,,"Aksiyon,Bilim-Kurgu,Gerilim",1h 27m,Japonca,"$700,000.00","$4,116,395.00"
8-Bit Christmas,24/11/2021 (US),64,Michael Dowse,,"Aile,Komedi,Fantastik",1h 38m,İngilizce,-,-
Mucizeyi Kadınlar Yaratır,16/09/2011 (US),52,Douglas McGrath,,"Romantik,Komedi",1h 29m,İngilizce,"$24,000,000.00","$31,410,151.00"
,27/08/2015 (BR),80,Anna Muylaert,,Dram,1h 52m,Portekizce,-,-
,22/10/2005 (DE),41,Uwe Boll,Guinevere Turner,Fantastik,1h 35m,İngilizce,"$25,000,000.00","$3,650,275.00"
Okul Bağları,18/09/1992 (US),65,Robert Mandel,,Dram,1h 46m,İngilizce,"$18,000,000.00","$14,700,000.00"
,16/02/2017 (US),80,Brett Sullivan,,"Müzik,Komedi,Dram,Tarih,Romantik",2h 14m,İngilizce,-,"$2,800,000.00"
Holiday,11/10/2018 (DK),56,Isabella Eklöf,,"Dram,Suç",1h 33m,Danca,-,-
May the Devil Take You,09/08/2018 (ID),63,Timo Tjahjanto,,"Korku,Gerilim",1h 50m,Endonezce,-,-
,22/04/2022 (ES),61,Álex de la Iglesia,,Korku,1h 40m,İspanyolca; Kastilyaca,-,-
Ölmeyen İnsanlar,01/01/1958 (TR),71,Vincente Minnelli,,"Dram,Tarih",2h 2m,İngilizce,-,-
Sindirella ve Prensin Sırrı,09/11/2018 (TR),66,Lynne Southerland,Francis Glebas,"Animasyon,Macera,Aile,Fantastik",1h 30m,İngilizce,"$20,000,000.00",-
,03/06/2004 (KR),72,Kwak Jae-yong,,"Komedi,Romantik,Dram",2h 3m,Korece,-,"$5,331,377.00"
Buffalo '66,26/06/1998 (US),71,Vincent Gallo,,"Dram,Romantik,Komedi",1h 50m,İngilizce,"$1,500,000.00","$2,375,097.00"
Candy,17/12/1968 (US),52,Christian Marquand,,"Macera,Komedi,Fantastik",2h 4m,İngilizce,"$3,000,000.00",-
Kayıp Şeylerin Bakım Kılavuzu,29/01/2016 (US),73,Rob Burnett,,"Komedi,Dram",1h 37m,İngilizce,-,-
Bedenimi Kaybettim,17/01/2020 (TR),75,Jérémy Clapin,,"Animasyon,Dram,Fantastik",1h 21m,Fransızca,-,-
Komando Harekatı 2,01/03/1985 (US),58,Lance Hool,Larry Levinson,"Aksiyon,Savaş",1h 40m,İngilizce,"$2,410,000.00","$10,755,447.00"
A Chinese Ghost Story,18/07/1987 (HK),73,Tony Ching Siu-Tung,,"Fantastik,Aksiyon",1h 38m,Cantonese,"$1,250,000.00",-
,02/11/2012 (US),80,John Kahrs,,"Animasyon,Aile,Romantik",7m,İngilizce,-,-
,28/04/2009 (US),57,Savage Steve Holland,Chad Gomez Creasey,Komedi,1h 26m,İngilizce,-,"$16,487,322.00"
,24/08/2018 (US),57,Brian Henson,,"Aksiyon,Komedi,Suç",1h 31m,İngilizce,"$40,000,000.00","$27,500,000.00"
Öldüren Kadın,25/05/2002 (FR),62,Brian De Palma,Brian De Palma,"Gizem,Suç,Gerilim",1h 54m,İngilizce,"$35,000,000.00","$16,800,000.00"
Serbest Çalışanlar,10/08/2012 (US),51,Jessy Terrero,L. Philippe Casseus,"Gizem,Dram,Aksiyon,Suç",1h 36m,İngilizce,"$11,000,000.00",-
Uyumsuz,13/03/2020 (GB),64,Philippa Lowthorpe,,"Dram,Tarih,Komedi",1h 47m,İngilizce,-,"$1,073,290.00"
Margaux,09/09/2022 (US),61,Steven C. Miller,,"Korku,Bilim-Kurgu",1h 39m,İngilizce,-,-
Sightless,29/09/2020 (US),68,Cooper Karl,Cooper Karl,"Gerilim,Korku",1h 29m,İngilizce,-,-
Onlar,24/07/2022 (US),48,John Logan,John Logan,"Korku,Gerilim",1h 41m,İngilizce,-,-
Hızlı ve Korkusuz,14/06/2013 (US),54,Mukunda Michael Dewil,Mukunda Michael Dewil,"Gerilim,Aksiyon",1h 25m,İngilizce,-,-
Charlie Wilson'ın Savaşı,21/12/2007 (US),65,Mike Nichols,,"Komedi,Dram,Tarih",1h 42m,İngilizce,"$75,000,000.00","$119,483,446.00"
Kusursuz Yabancı,19/04/2007 (US),58,James Foley,,"Gerilim,Suç,Gizem",1h 49m,İngilizce,"$60,795,000.00","$73,090,611.00"
Arkadaşım Dahmer,03/11/2017 (US),65,Marc Meyers,,"Tarih,Dram,Suç,Korku",1h 47m,İngilizce,-,"$1,361,611.00"
The Tobacconist,01/11/2018 (DE),66,Nikolaus Leytner,,"Dram,Tarih",1h 49m,Almanca,-,"$360,996.00"
Blood for Dust,19/04/2024 (US),58,Rod Blackhurst,David Ebeltoft,"Aksiyon,Suç,Gerilim",1h 38m,İngilizce,-,-
Komplo,18/01/2018 (DK),61,Per Fly,,"Gerilim,Dram,Tarih",1h 48m,İngilizce,-,-
Hesher,22/01/2010 (US),68,Spencer Susser,Spencer Susser,Dram,1h 46m,İngilizce,"$7,000,000.00","$449,702.00"
Hayaletli Ev,25/10/2013 (US),61,Vincenzo Natali,Brian King,"Korku,Gizem,Gerilim",1h 37m,İngilizce,-,-
Cat Pack: A PAW Patrol Exclusive Event,24/06/2022 (US),74,Charles E. Bastien,Michael Stokes,"Animasyon,Aile",1h 8m,İngilizce,-,-
My Father's Mexican Wedding,17/02/2023 (ES),61,Alfonso Albacete,Alfonso Albacete,"Komedi,Romantik",1h 48m,İspanyolca; Kastilyaca,-,-
,30/04/2004 (KR),66,Ryoo Seung-wan,Ryoo Seung-wan,"Fantastik,Aksiyon,Komedi,Gerilim",1h 54m,Korece,-,-
Kesik El,24/04/1981 (US),60,Oliver Stone,,"Korku,Gerilim",1h 44m,İngilizce,"$6,500,000.00","$566,736.00"
Lady of the Night,27/02/1986 (IT),49,Piero Schivazappa,,Dram,1h 30m,İtalyanca,-,-
,01/09/1984 (JP),63,Ikuo Sekimoto,,Dram,1h 11m,Japonca,-,-
Like Minds,09/11/2006 (AU),63,Gregory J. Read,Gregory J. Read,"Gerilim,Gizem,Korku,Suç",1h 50m,İngilizce,"$8,000,000.00",-
,02/09/2004 (US),67,Shainee Gabel,,Dram,1h 59m,İngilizce,-,"$1,841,260.00"
Vahşi Şeyler 3,19/02/2005 (US),50,Jay Lowi,Ross Helford,"Suç,Dram,Gizem",1h 27m,İngilizce,-,-
Ahlaksız Hikayeler,28/08/1974 (FR),58,Walerian Borowczyk,,"Dram,Romantik",2h 5m,Fransızca,-,-
Sokağın Dili Olsa,14/12/2018 (US),69,Barry Jenkins,,"Romantik,Dram",1h 57m,İngilizce,"$12,000,000.00","$20,572,691.00"
Küçük Joe,27/12/2019 (TR),57,Jessica Hausner,,"Dram,Bilim-Kurgu",1h 46m,İngilizce,-,-
Büyük Umutlar,30/11/2012 (GB),64,Mike Newell,,"Dram,Romantik",2h 8m,İngilizce,-,"$258,656.00"
Şeytanın Kemancısı,30/01/2013 (US),67,Bernard Rose,Bernard Rose,Dram,2h 2m,İngilizce,-,"$11,294.00"
Görev 44,09/12/2011 (US),51,Aaron Harvey,,"Dram,Aksiyon,Gerilim",1h 33m,İngilizce,"$7,000,000.00",-
Tepki,11/05/1984 (US),63,Mark L. Lester,,"Korku,Gerilim,Bilim-Kurgu",1h 55m,İngilizce,"$15,000,000.00","$17,080,167.00"
Seberg,13/12/2019 (US),60,Benedict Andrews,Anna Waterhouse,"Gerilim,Dram",1h 43m,İngilizce,"$8,000,000.00","$592,565.00"
Alkatraz Kuşçusu,04/07/1962 (US),75,John Frankenheimer,,"Dram,Suç",2h 27m,İngilizce,"$2,650,000.00","$3,100,000.00"
Ben,23/06/1972 (US),58,Phil Karlson,Gilbert Ralston,"Korku,Gerilim",1h 34m,İngilizce,-,-
The River,01/12/1984 (US),62,Mark Rydell,,Dram,2h 2m,İngilizce,"$18,000,000.00","$11,500,000.00"
Aşkın Büyüsü,22/04/2011 (US),69,Francis Lawrence,,"Dram,Romantik",2h 2m,İngilizce,"$38,000,000.00","$117,094,902.00"
,08/03/1991 (US),62,John Badham,,"Aksiyon,Komedi,Suç",1h 51m,İngilizce,"$24,000,000.00","$65,595,485.00"
Mathilde,25/10/2017 (RU),60,Alexey Uchitel,Aleksandr Terekhov,"Tarih,Dram,Romantik",2h 10m,Rusça,"$25,000,000.00",-
Haberciler,02/02/2007 (US),57,Oxide Pang Chun,,"Gizem,Gerilim,Korku",1h 30m,İngilizce,"$16,000,000.00","$55,060,212.00"
Gambit,25/04/2012 (US),55,Michael Hoffman,Ethan Coen,"Komedi,Suç",1h 29m,İngilizce,-,"$1,203,942.00"
,14/12/2018 (KR),73,Sung Gi-man,,Romantik,1h 22m,Korece,-,-
Crabs!,26/08/2021 (GB),43,Pierce Berolzheimer,Pierce Berolzheimer,"Komedi,Korku",1h 20m,İngilizce,-,-
Afacan Kardeşim Ramona,23/07/2010 (US),65,Elizabeth Allen Rosenbaum,,"Komedi,Aile",1h 43m,İngilizce,"$15,000,000.00","$27,293,743.00"
,31/05/2019 (US),58,Tate Taylor,Scotty Landes,"Korku,Gerilim,Gizem",1h 39m,İngilizce,"$5,000,000.00","$51,749,995.00"
Monster High: Fright On!,31/10/2011 (US),64,Alfred Gimeno,Mike Montesano,"Aile,Animasyon,Fantastik",46m,İngilizce,-,-
,21/07/2006 (US),69,Kevin Smith,,Komedi,1h 37m,İngilizce,"$5,000,000.00","$26,888,376.00"
,14/04/2017 (US),48,Alex Merkin,,"Aksiyon,Gerilim",1h 28m,İngilizce,-,-
Zirveye Tırmanış,21/03/2003 (US),55,Bruno Barreto,,"Komedi,Romantik,Dram",1h 27m,İngilizce,"$30,000,000.00","$19,526,014.00"
,05/10/2012 (US),55,Lee Daniels,,"Gerilim,Dram,Gizem",1h 47m,İngilizce,"$12,500,000.00","$1,353,868.00"
The Guardian,27/04/1990 (US),57,William Friedkin,,"Korku,Gerilim",1h 32m,İngilizce,-,"$17,037,887.00"
,07/01/2010 (DK),71,Joachim Rønning,Thomas Nordseth-Tiller,"Tarih,Savaş,Aksiyon,Suç",1h 58m,Norveççe,"$6,500,000.00",-
Winchester '73,12/07/1950 (US),73,Anthony Mann,,Vahşi Batı,1h 32m,İngilizce,-,"$2,250,000.00"
Profesyoneller,01/11/1966 (US),71,Richard Brooks,,"Vahşi Batı,Macera,Aksiyon",1h 57m,İngilizce,-,-
Yüksek Isı,16/12/2022 (US),56,Zach Golden,James Pedersen,"Aksiyon,Gerilim,Suç,Komedi",1h 24m,İngilizce,-,-
Neşeli Madagascar,16/11/2009 (US),64,David Soren,David Soren,"Aile,Animasyon",30m,İngilizce,-,-
Saul'un Oğlu,19/02/2016 (TR),72,László Nemes,,"Savaş,Dram,Gerilim",1h 47m,Macarca,"$1,000,000.00","$1,777,043.00"
Sibyl,24/05/2019 (FR),57,Justine Triet,,Dram,1h 40m,Fransızca,-,-
Yükselen Güneş,30/07/1993 (US),62,Philip Kaufman,,"Aksiyon,Dram,Gerilim",2h 5m,İngilizce,"$40,000,000.00","$107,198,790.00"
Soraya'yı Taşlamak,26/06/2009 (US),76,Cyrus Nowrasteh,,"Suç,Dram",1h 54m,İngilizce,-,"$1,100,000.00"
Şeytanın Mezarı,26/05/2009 (US),47,Jason Connery,Keith Kjornes,"Aksiyon,Korku,Gerilim,Bilim-Kurgu",1h 30m,İngilizce,"$10,000,000.00",-
The Assignment,28/09/1997 (US),63,Christian Duguay,,"Gerilim,Aksiyon,Suç",1h 59m,İngilizce,-,-
The House by the Cemetery,14/08/1981 (IT),62,Lucio Fulci,,"Korku,Gizem",1h 27m,İtalyanca,"$786,801.00","$1,845,819.00"
Arı Maya 3: Altın Küre,24/02/2023 (TR),66,Noel Cleary,Fin Edquist,"Macera,Animasyon,Aile",1h 28m,İngilizce,-,-
Kayıp ve Çılgın,21/01/2001 (US),68,Léa Pool,,"Dram,Romantik",1h 43m,İngilizce,-,-
Rahat Kız,28/08/2019 (FR),56,Rebecca Zlotowski,Teddy Lussi-Modeste,"Komedi,Dram",1h 32m,Fransızca,-,-
,25/12/2007 (SE),63,Peter Flinth,,"Aksiyon,Macera,Dram,Romantik",2h 19m,İsveçce,"$25,000,000.00",-
Aşk Taktikleri 2,14/07/2023 (TR),70,Recai Karagöz,Pelin Karamehmetoğlu,"Romantik,Komedi",1h 38m,Türkçe,-,-
,20/06/2014 (ES),75,Joaquín Llamas,Fran Araújo,"Romantik,Dram",1h 45m,İspanyolca; Kastilyaca,-,-
Barbed Wire Dolls,31/12/1976 (US),47,Jesús Franco,Jesús Franco,"Suç,Dram,Korku",1h 21m,Fransızca,-,-
Süper Yetenek 2,11/06/2021 (US),66,Mark Baldo,Alec Sokolow,"Animasyon,Komedi,Müzik,Aile",1h 30m,İngilizce,-,"$687,000.00"
Adagio,14/12/2023 (IT),68,Stefano Sollima,,"Suç,Gerilim,Aksiyon",2h 7m,İtalyanca,-,-
Sınırı Geçmek,27/02/2009 (US),62,Wayne Kramer,,"Suç,Dram",1h 53m,İngilizce,"$25,000,000.00","$1,037,335.00"
Uçurum,04/11/2020 (RU),60,Arseny Syukhin,,"Korku,Bilim-Kurgu,Gerilim",1h 53m,Rusça,-,"$596,370.00"
,17/10/2014 (US),65,Jason Reitman,,"Dram,Komedi",1h 56m,İngilizce,"$16,000,000.00","$1,700,000.00"
Recount,25/05/2008 (US),68,Jay Roach,Danny Strong,"Dram,Tarih,TV film",1h 56m,İngilizce,-,-
The Hunchback of Notre Dame,06/09/1923 (US),65,Wallace Worsley,Chester L. Roberts,"Romantik,Dram,Korku",1h 53m,İngilizce,"$1,250,000.00",-
,13/08/1993 (US),71,Steven Zaillian,,Dram,1h 50m,İngilizce,"$12,000,000.00","$7,266,383.00"
,29/04/1981 (IT),69,Lucio Fulci,,Korku,1h 28m,İtalyanca,"$400,000.00","$123,843.00"
Express: Ernie Davis’in Hikâyesi,10/10/2008 (US),71,Gary Fleder,Charles Leavitt,Dram,2h 10m,İngilizce,"$40,000,000.00","$9,793,496.00"
The Last Laugh,18/04/2016 (US),70,Ferne Pearlstein,Ferne Pearlstein,Belgesel,1h 29m,İngilizce,-,-
Never Sleep Again: The Elm Street Legacy,04/05/2010 (US),78,Daniel Farrands,,Belgesel,4h,İngilizce,-,-
Kış Aslanı,30/10/1968 (US),74,Anthony Harvey,,"Dram,Tarih",2h 14m,İngilizce,-,-
Pes Etme,01/12/2017 (TR),70,David Gordon Green,,Dram,1h 59m,İngilizce,"$30,000,000.00","$8,484,418.00"
Arthur,08/04/2011 (US),56,Jason Winer,,"Komedi,Romantik",1h 50m,İngilizce,"$40,000,000.00","$48,147,945.00"
Kör Talih,27/03/1987 (US),60,Blake Edwards,,"Komedi,Romantik",1h 35m,İngilizce,"$18,000,000.00","$39,321,715.00"
Deniz Kızları,14/12/1990 (US),67,Richard Benjamin,,"Komedi,Dram,Romantik",1h 50m,İngilizce,"$31,000,000.00","$35,419,397.00"
,30/06/1989 (US),63,Jim McBride,,"Dram,Tarih,Müzik",1h 48m,İngilizce,"$17,000,000.00","$13,700,000.00"
Rüşvetçi,12/03/1999 (US),61,James Foley,,"Aksiyon,Suç,Gerilim,Dram",1h 50m,İngilizce,"$25,000,000.00","$15,156,200.00"
Kumar Tanrılarının Dönüşü,24/12/1994 (US),67,Wong Jing,Wong Jing,"Aksiyon,Komedi",2h 6m,Cantonese,-,-
Köprü Üstü Aşıkları,16/10/1991 (FR),74,Leos Carax,Leos Carax,"Dram,Romantik",2h 5m,Fransızca,"$28,000,000.00",-
Çarmıha Gerilen Aşıklar,23/11/1954 (JP),77,Kenji Mizoguchi,,"Dram,Romantik",1h 42m,Japonca,-,-
Baykuş,15/04/2006 (US),56,Wil Shriner,,"Dram,Aile,Macera",1h 31m,İngilizce,"$15,000,000.00","$8,200,000.00"
Harp Vagonu,27/05/1967 (US),69,Burt Kennedy,,"Vahşi Batı,Aksiyon,Suç",1h 41m,İngilizce,-,"$6,000,000.00"
Otherhood,02/08/2019 (US),62,Cindy Chupack,Cindy Chupack,Komedi,1h 40m,İngilizce,-,-
,23/03/1978 (HK),64,Robert Clouse,Robert Clouse,"Dram,Aksiyon,Gerilim",1h 41m,Cantonese,"$850,000.00",-
Karanlık,13/05/2016 (US),48,Greg McLean,Greg McLean,"Korku,Gerilim",1h 32m,İngilizce,"$4,000,000.00","$10,900,000.00"
The Golden Voyage of Sinbad,20/12/1973 (GB),67,Gordon Hessler,,"Aksiyon,Macera,Dram,Fantastik,Aile",1h 45m,İngilizce,-,"$11,000,000.00"
,01/02/2008 (US),55,Jeff Lowell,Jeff Lowell,Komedi,1h 35m,İngilizce,"$10,000,000.00",-
,22/02/2000 (US),68,Curtis Hanson,,"Komedi,Dram",1h 51m,İngilizce,"$35,000,000.00","$33,426,588.00"
Satan's Slaves,28/09/2017 (ID),67,Joko Anwar,Joko Anwar,"Dram,Korku,Gizem",1h 47m,Endonezce,"$147,983.00",-
The Way West,24/05/1967 (US),60,Andrew V. McLaglen,,"Aksiyon,Macera,Dram,Vahşi Batı",2h 2m,İngilizce,-,-
,12/11/2021 (PH),56,Lawrence Fajardo,,Dram,1h 51m,Tagalog,-,-
Absence of Malice,19/11/1981 (US),66,Sydney Pollack,Kurt Luedtke,"Dram,Romantik",1h 56m,İngilizce,"$12,000,000.00","$40,716,963.00"
Mahşer Günü,08/06/2012 (TR),59,Xavier Gens,Eron Sheean,"Korku,Bilim-Kurgu,Gerilim",1h 52m,İngilizce,"$3,000,000.00","$156,362.00"
Dünya: İnanılmaz Bir Gün,06/10/2017 (US),78,Lixin Fan,Frank Cottrell Boyce,"Belgesel,Aile,Macera",1m,İngilizce,-,-
İsviçreli Robinson Ailesi,21/12/1960 (US),69,Ken Annakin,,"Macera,Aile",2h 6m,İngilizce,"$5,000,000.00","$40,356,000.00"
,18/01/2023 (BE),61,Marc Fitoussi,,Komedi,1h 51m,Fransızca,-,"$3,657,542.00"
Her Türlü Kuşkunun Ötesinde Bir Vatandaş Üstüne Soruşturma,12/02/1970 (IT),82,Elio Petri,,"Dram,Gerilim",1h 51m,İtalyanca,-,-
Napping Princess,18/03/2017 (JP),66,Kenji Kamiyama,,"Fantastik,Macera,Animasyon,Dram,Bilim-Kurgu",1h 51m,Japonca,-,-
,05/06/1929 (FR),74,Luis Buñuel,,"Korku,Fantastik",21m,Fransızca,-,-
The Snows of Kilimanjaro,08/10/1952 (US),59,Henry King,,"Macera,Romantik,Dram",1h 57m,İngilizce,-,-
"Corrina, Corrina",12/08/1994 (US),67,Jessie Nelson,,"Komedi,Dram,Aile,Romantik",1h 55m,İngilizce,-,-
Tiyatro Kampı,14/07/2023 (US),67,Nick Lieberman,Nick Lieberman,Komedi,1h 32m,İngilizce,"$5,000,000.00","$4,400,000.00"
Roma'da Aşk Başkadır,05/02/2016 (US),50,Ella Lemhagen,Josh Appignanesi,"Komedi,Romantik",1h 30m,İngilizce,-,-
Cargo,06/10/2017 (AU),64,Yolanda Ramke,Yolanda Ramke,"Dram,Gerilim,Korku",1h 45m,İngilizce,-,"$56,385.00"
Lean On Me,03/03/1989 (US),73,John G. Avildsen,Michael Schiffer,Dram,1h 48m,İngilizce,-,-
Strawberry Shortcake and the Beast of Berry Bog,22/09/2023 (CA),67,Jim Miller,Jocelyn Geddie,"Animasyon,Aile,TV film",42m,İngilizce,-,-
Frost/Nixon,05/12/2008 (US),73,Ron Howard,,"Dram,Tarih",2h 2m,İngilizce,"$25,000,000.00","$18,593,156.00"
Mary Shelley,13/07/2018 (TR),70,Haifaa al-Mansour,Haifaa al-Mansour,"Romantik,Dram",2h,İngilizce,-,-
Samson,16/02/2018 (US),58,Bruce Macdonald,Jason Baumgardner,"Aksiyon,Dram,Macera",1h 50m,İngilizce,"$3,500,000.00","$4,900,000.00"
Elveda Sabata,30/09/1970 (IT),64,Gianfranco Parolini,Gianfranco Parolini,"Aksiyon,Vahşi Batı,Savaş",1h 44m,İtalyanca,-,-
They Came Together,27/06/2014 (US),56,David Wain,David Wain,Komedi,1h 23m,İngilizce,-,-
The Nature of Love,22/09/2023 (CA),75,Monia Chokri,Monia Chokri,"Romantik,Komedi,Dram",1h 52m,Fransızca,-,-
Ben İstersem Yaşarsın,29/07/1970 (US),67,Andrew V. McLaglen,Andrew J. Fenady,Vahşi Batı,1h 51m,İngilizce,"$4,000,000.00","$6,000,000.00"
Mermiler Uçuşuyor,20/12/2010 (CN),77,Jiang Wen,,"Aksiyon,Komedi",2h 12m,Çince,-,"$104,731,450.00"
,01/11/1996 (GB),70,Mark Herman,,"Komedi,Romantik,Dram",1h 47m,İngilizce,-,"$2,576,197.00"
,03/04/2020 (US),75,Pablo Lejarreta,Pablo Lejarreta,Belgesel,57m,İspanyolca; Kastilyaca,-,-
Boundless,01/02/2024 (DK),58,Ole Christian Madsen,Jakob Weiss,"Suç,Dram,Gerilim",2h 6m,Danca,"$7,500,000.00",-
İkiyüzlü,05/09/2013 (KR),67,Kim Ki-duk,,Dram,1h 29m,Korece,-,"$11,563.00"
Hidden Man,13/07/2018 (CN),66,Jiang Wen,,"Aksiyon,Suç,Dram",2h 17m,Çince,-,-
Bilitis,16/03/1977 (FR),54,David Hamilton,,"Dram,Romantik",1h 35m,Fransızca,-,-
Stagecoach,16/06/1966 (US),59,Gordon Douglas,Dudley Nichols,Vahşi Batı,1h 55m,İngilizce,-,-
I Don't Like Younger Men,19/01/2017 (KR),37,Choi Woo-seong,,Romantik,1h 22m,Korece,-,-
,07/05/2021 (US),64,Gia Coppola,,"Komedi,Dram",1h 35m,İngilizce,"$5,000,000.00",-
Havaalanı 3,11/03/1977 (US),56,Jerry Jameson,,"Aksiyon,Macera,Dram,Gerilim",1h 54m,İngilizce,"$6,000,000.00","$30,000,000.00"
Shattered Memories,15/11/2018 (US),52,Chris Sivertson,Chris Sivertson,"Suç,Gerilim,TV film",1h 26m,İngilizce,-,-
Sürprizli Gece,21/08/2020 (US),64,Trish Sie,Sarah Rothschild,"Aile,Aksiyon",1h 43m,İngilizce,-,-
Ejderha Gözler,11/05/2012 (US),52,John Hyams,,Aksiyon,1h 28m,İngilizce,"$3,000,000.00",-
,06/05/2022 (US),67,Sofia Alvarez,,"Romantik,Dram",1h 46m,İngilizce,-,-
,08/04/2016 (BR),59,João Falcão,João Falcão,"Dram,Komedi,Bilim-Kurgu,Romantik",1h 29m,Portekizce,-,-
,28/07/2016 (KR),51,Choi Won-joon-I,,"Dram,Romantik",1h 29m,Korece,-,-
Alfie,05/11/2004 (US),58,Charles Shyer,,"Komedi,Dram,Romantik",1h 43m,İngilizce,"$60,000,000.00","$35,060,882.00"
Rock Yıldızı,07/09/2001 (US),67,Stephen Herek,,"Müzik,Dram,Komedi",1h 45m,İngilizce,"$57,000,000.00","$19,334,145.00"
Saklı Kale,28/12/1958 (JP),80,Akira Kurosawa,,"Dram,Aksiyon,Macera",2h 19m,Japonca,-,-
Doğum,29/10/2004 (US),60,Jonathan Glazer,,"Dram,Gizem",1h 40m,İngilizce,"$20,000,000.00","$23,900,000.00"
Roxanne,19/06/1987 (US),64,Fred Schepisi,,"Komedi,Romantik",1h 47m,İngilizce,"$12,000,000.00","$40,050,884.00"
Kusursuz,26/11/1999 (US),61,Joel Schumacher,,"Komedi,Dram",1h 52m,İngilizce,"$15,000,000.00","$4,488,529.00"
A Bullet for the General,13/01/1967 (IT),65,Damiano Damiani,Franco Solinas,Vahşi Batı,1h 58m,İtalyanca,-,-
Megalomaniac,08/09/2023 (US),60,Karim Ouelhaj,Karim Ouelhaj,"Korku,Gizem,Gerilim",1h 40m,Fransızca,-,-
,28/05/2008 (IT),76,Paolo Sorrentino,,Dram,1h 53m,İtalyanca,"$7,275,000.00","$11,260,366.00"
Gece,24/01/1961 (IT),79,Michelangelo Antonioni,,"Dram,Romantik",1h 55m,İtalyanca,-,-
They Talk,29/07/2021 (IT),44,Giorgio Bruno,Stefano Ceccarelli,"Korku,Gizem,Gerilim",1h 36m,İtalyanca,-,"$31,907.00"
Troll,26/07/1986 (IT),50,John Carl Buechler,Ed Naha,"Fantastik,Korku",1h 22m,İngilizce,"$1,100,000.00","$5,450,815.00"
En soğuk Oyun,08/11/2019 (PL),62,Łukasz Kośmicki,,"Dram,Gerilim",1h 44m,İngilizce,-,-
The Immortal,05/12/2019 (IT),66,Marco D'Amore,Marco D'Amore,"Suç,Dram,Gerilim",1h 55m,İtalyanca,-,-
,10/09/1958 (US),62,Irvin S. Yeaworth Jr.,,"Korku,Bilim-Kurgu",1h 23m,İngilizce,"$110,000.00","$4,000,000.00"
